epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72093,3.62094,5.21701,4.38988,4.15561,0.00172,0.33333,0.00171,0.00068,0,0,0,0,3.38137,5.12848,3.89241,4.15881,2e-05,2e-05,2e-05
2,2.58891,4.28653,5.34516,4.55386,4.16338,0.00171,0.33333,0.00153,0.00062,0,0,0,0,3.38078,5.12799,3.8921,4.15874,5.8812e-05,5.8812e-05,5.8812e-05
3,3.41476,4.78615,5.42884,4.71074,4.16376,0.00171,0.33333,0.00157,0.00063,0,0,0,0,3.38078,5.12805,3.8921,4.15851,9.604e-05,9.604e-05,9.604e-05
4,4.16796,3.72637,5.16172,4.90691,4.18701,0.00176,0.33333,0.00164,0.00071,0,0,0,0,3.37759,5.12844,3.8881,4.15817,0.000131684,0.000131684,0.000131684
5,5.05116,4.68267,5.24119,5.06966,4.18195,0.00175,0.33333,0.00156,0.00065,0,0,0,0,3.37648,5.12859,3.88517,4.15743,0.000165744,0.000165744,0.000165744
6,5.95474,4.36706,5.17161,5.39978,4.18961,0.00174,0.33333,0.00175,0.0007,0,0,0,0,3.37589,5.12813,3.88277,4.15759,0.00019822,0.00019822,0.00019822
7,6.73045,4.84347,5.23192,5.26889,4.16161,0.00175,0.33333,0.00161,0.00065,0,0,0,0,3.37531,5.12722,3.88038,4.15656,0.000229112,0.000229112,0.000229112
8,7.44224,2.00572,2.57199,6.67443,2.08747,0.00183,0.33333,0.00197,0.00075,0,0,0,0,3.37053,5.12498,3.87742,4.15477,0.00025842,0.00025842,0.00025842
9,8.42657,3.01143,4.74794,4.67565,4.1532,0.00183,0.33333,0.00184,0.00071,0,0,0,0,3.368,5.12232,3.87584,4.15303,0.000286144,0.000286144,0.000286144
10,9.1702,3.63963,4.8948,4.23248,4.13902,0.00187,0.33333,0.00204,0.00076,0,0,0,0,3.36284,5.11747,3.87103,4.15116,0.000312284,0.000312284,0.000312284
11,9.95832,3.16824,5.83943,3.81307,4.18316,0.00174,0.33333,0.00179,0.00072,0,0,0,0,3.36067,5.11447,3.86712,4.14916,0.00033684,0.00033684,0.00033684
12,10.6703,1.70756,2.41507,6.29545,2.07278,0.00174,0.33333,0.00179,0.00072,0,0,0,0,3.36067,5.11447,3.86712,4.14916,0.000359812,0.000359812,0.000359812
13,11.7675,3.17883,4.40234,4.3655,4.15361,0.00188,0.33333,0.00206,0.00076,0,0,0,0,3.3521,5.10655,3.86372,4.14589,0.0003812,0.0003812,0.0003812
14,12.5843,4.17317,4.30506,5.05447,4.10335,0.00178,0.33333,0.00185,0.00072,0.00178,0.33333,0.00178,0.00053,3.34458,5.09536,3.85821,4.14045,0.000401004,0.000401004,0.000401004
15,13.4235,4.60174,5.84249,4.50902,4.0952,0.00178,0.33333,0.00185,0.00072,0.00178,0.33333,0.00178,0.00053,3.34458,5.09536,3.85821,4.14045,0.000419224,0.000419224,0.000419224
16,14.4725,4.45985,4.88127,4.60677,4.1048,0.00176,0.33333,0.00187,0.00073,0.00176,0.33333,0.00181,0.00054,3.33532,5.08037,3.85452,4.13422,0.00043586,0.00043586,0.00043586
17,15.4469,3.57692,4.6703,4.04327,4.12644,0.00175,0.33333,0.00166,0.00084,0.00175,0.33333,0.00167,0.00051,3.31711,5.06144,3.84801,4.12791,0.000450912,0.000450912,0.000450912
18,16.3418,4.24636,4.30979,4.27444,4.07503,0.00175,0.33333,0.00166,0.00084,0.00175,0.33333,0.00167,0.00051,3.31711,5.06144,3.84801,4.12791,0.00046438,0.00046438,0.00046438
19,17.2191,2.81577,4.34083,4.21875,4.12412,0.00183,0.33333,0.00167,0.00101,0.00183,0.33333,0.00207,0.00063,3.29544,5.02754,3.82842,4.11706,0.000476264,0.000476264,0.000476264
20,18.2176,4.3975,4.63269,4.92799,4.12004,0.00183,0.33333,0.00167,0.00101,0.00183,0.33333,0.00207,0.00063,3.29544,5.02754,3.82842,4.11706,0.000486564,0.000486564,0.000486564
21,19.1134,3.46687,4.41538,4.50794,4.12863,0.00175,0.33333,0.00176,0.00093,0.00175,0.33333,0.00176,0.00057,3.27235,4.99051,3.77732,4.10373,0.00049528,0.00049528,0.00049528
22,19.9673,3.70453,4.53647,4.22376,4.08688,0.00175,0.33333,0.00176,0.00093,0.00175,0.33333,0.00176,0.00057,3.27235,4.99051,3.77732,4.10373,0.000502412,0.000502412,0.000502412
23,20.6935,3.46422,4.62382,3.58319,4.08272,0.00181,0.33333,0.00169,0.00085,0.00181,0.33333,0.00169,0.00052,3.24799,4.96311,3.74925,4.09103,0.00050796,0.00050796,0.00050796
24,21.5821,3.50899,4.14798,3.61524,4.04601,0.00181,0.33333,0.00169,0.00085,0.00181,0.33333,0.00169,0.00052,3.24799,4.96311,3.74925,4.09103,0.000511924,0.000511924,0.000511924
25,22.4477,3.28719,4.02285,4.33289,3.99629,0.00175,0.33333,0.00168,0.00086,0.00175,0.33333,0.00168,0.00071,3.21719,4.93186,3.71468,4.07718,0.000514304,0.000514304,0.000514304
26,23.2134,3.86031,3.87377,4.17062,4.12466,0.00175,0.33333,0.00168,0.00086,0.00175,0.33333,0.00168,0.00071,3.21719,4.93186,3.71468,4.07718,0.0005151,0.0005151,0.0005151
27,24.0428,4.3772,4.44091,3.96646,4.06022,0.00175,0.33333,0.00168,0.00086,0.00175,0.33333,0.00168,0.00071,3.21719,4.93186,3.71468,4.07718,0.000514312,0.000514312,0.000514312
28,24.924,5.10747,4.44673,6.2302,4.08132,0.00176,0.33333,0.00168,0.00085,0.00176,0.33333,0.00168,0.00068,3.18104,4.87023,3.67843,4.05968,0.00051194,0.00051194,0.00051194
29,25.9323,3.26479,4.05627,3.5353,4.03454,0.00176,0.33333,0.00168,0.00085,0.00176,0.33333,0.00168,0.00068,3.18104,4.87023,3.67843,4.05968,0.000507984,0.000507984,0.000507984
30,26.7343,3.19434,4.20187,3.67317,4.06218,0.00181,0.33333,0.00197,0.00106,0.00181,0.33333,0.00215,0.00088,3.14228,4.80934,3.67492,4.04129,0.000502444,0.000502444,0.000502444
31,27.7258,3.14453,3.32798,3.79903,3.96795,0.00181,0.33333,0.00197,0.00106,0.00181,0.33333,0.00215,0.00088,3.14228,4.80934,3.67492,4.04129,0.00049532,0.00049532,0.00049532
32,28.6814,4.48083,3.86555,4.34687,4.03913,0.00181,0.33333,0.00197,0.00106,0.00181,0.33333,0.00215,0.00088,3.14228,4.80934,3.67492,4.04129,0.000486612,0.000486612,0.000486612
33,29.635,2.76596,3.30864,3.98045,3.94983,0.00179,0.33333,0.00196,0.00112,0.00179,0.33333,0.00196,0.00063,3.11901,4.77861,3.7073,4.02487,0.00047632,0.00047632,0.00047632
34,30.413,1.542,2.19276,5.8925,1.99701,0.00179,0.33333,0.00196,0.00112,0.00179,0.33333,0.00196,0.00063,3.11901,4.77861,3.7073,4.02487,0.000464444,0.000464444,0.000464444
35,31.3312,3.19924,4.02894,3.63326,3.91391,0.00179,0.33333,0.00196,0.00112,0.00179,0.33333,0.00196,0.00063,3.11901,4.77861,3.7073,4.02487,0.000450984,0.000450984,0.000450984
36,32.2415,3.4411,4.0082,3.34342,3.90381,0.00178,0.33333,0.00289,0.00159,0.00178,0.33333,0.0035,0.00102,3.11292,4.77238,3.75772,4.0143,0.00043594,0.00043594,0.00043594
37,33.3142,3.20995,3.96338,3.58204,4.12523,0.00178,0.33333,0.00289,0.00159,0.00178,0.33333,0.0035,0.00102,3.11292,4.77238,3.75772,4.0143,0.000419312,0.000419312,0.000419312
38,34.4773,3.46918,4.67441,3.70435,3.94986,0.00178,0.33333,0.00289,0.00159,0.00178,0.33333,0.0035,0.00102,3.11292,4.77238,3.75772,4.0143,0.0004011,0.0004011,0.0004011
39,35.3934,3.05276,4.98241,3.62026,3.97234,0.0018,0.33333,0.00255,0.00118,0.0018,0.33333,0.00252,0.00093,3.08847,4.74151,3.76918,3.99649,0.000381304,0.000381304,0.000381304
40,36.0907,3.23278,3.77384,3.1395,3.83878,0.0018,0.33333,0.00255,0.00118,0.0018,0.33333,0.00252,0.00093,3.08847,4.74151,3.76918,3.99649,0.000359924,0.000359924,0.000359924
41,38.7538,3.13952,3.87939,3.8584,3.84094,0.0018,0.33333,0.00255,0.00118,0.0018,0.33333,0.00252,0.00093,3.08847,4.74151,3.76918,3.99649,0.00033696,0.00033696,0.00033696
42,39.7872,3.65363,3.59442,4.50391,3.86206,0.00176,0.33333,0.00229,0.00121,0.00176,0.33333,0.00248,0.00074,3.05832,4.68015,3.84851,3.97296,0.000312412,0.000312412,0.000312412
43,40.6085,4.14454,3.94604,5.00965,4.16164,0.00176,0.33333,0.00229,0.00121,0.00176,0.33333,0.00248,0.00074,3.05832,4.68015,3.84851,3.97296,0.00028628,0.00028628,0.00028628
44,41.3393,2.85524,2.87187,3.4412,3.75655,0.00176,0.33333,0.00229,0.00121,0.00176,0.33333,0.00248,0.00074,3.05832,4.68015,3.84851,3.97296,0.000258564,0.000258564,0.000258564
45,42.0563,3.08733,3.63183,3.63003,3.86924,0.00176,0.33333,0.00229,0.00121,0.00176,0.33333,0.00248,0.00074,3.05832,4.68015,3.84851,3.97296,0.000229264,0.000229264,0.000229264
46,43.0262,2.6509,2.9583,3.70055,3.77219,0.00173,0.33333,0.00217,0.00102,0.00173,0.33333,0.0022,0.00083,3.03803,4.61648,3.87203,3.95666,0.00019838,0.00019838,0.00019838
47,43.7078,2.92576,3.07222,3.98027,3.74329,0.00173,0.33333,0.00217,0.00102,0.00173,0.33333,0.0022,0.00083,3.03803,4.61648,3.87203,3.95666,0.000165912,0.000165912,0.000165912
48,44.4238,3.11474,4.06135,3.97173,4.02919,0.00173,0.33333,0.00217,0.00102,0.00173,0.33333,0.0022,0.00083,3.03803,4.61648,3.87203,3.95666,0.00013186,0.00013186,0.00013186
49,45.1558,2.34788,4.13995,3.88565,3.80291,0.00173,0.33333,0.00217,0.00102,0.00173,0.33333,0.0022,0.00083,3.03803,4.61648,3.87203,3.95666,9.6224e-05,9.6224e-05,9.6224e-05
50,45.9591,2.90596,3.495,4.07765,3.85123,0.00175,0.33333,0.00197,0.00096,0.00175,0.33333,0.00199,0.00059,3.04095,4.57742,3.89525,3.95412,5.9004e-05,5.9004e-05,5.9004e-05
